Crop_ID,Name,is_Seasonal,Season_start,Season_end,Harvest_weight_per_land_area,Harvest_time,Productivity
1,Ampalaya,,,,,18-20 days after blooming,73
2,Onion Bulb,,,,,,76
3,Cabbage,,,,,,79
4,Carrots,,,,,,80
5,Cauliflower,,,,,,73
6,Eggplant,0,,,20-25 tons/ha,60-90 days,76
7,Garlic,,,,,,79
8,Habitchuelas(beans),,,,,,80
9,Potato,,,,,,73
10,Stringbeans,,,,,,76
11,Tomato,1,may,october,10-15 tons/ha,10-12 weeks,79
12,Abaca,,,,,,80
13,Cacao,,,,,,73
14,Cashew (ripe fruit with nut),,,,,,76
15,Coconut,0,,,0.7-1.3 tons/ha,5-7 years,79
16,Coffee (dried berries),,,,,,80
17,Cotton,,,,,,73
18,Oil Palm (fresh fruit bunch),,,,,,76
19,Sugarcane,,,,,,79
20,Tobacco,,,,,,80
21,Tobacco Native,,,,,,73
22,Banana,0,0,0,1666 bunches in first year,12-13 months,76
23,Calamansi,,,,,,79
24,Durian,,,,,,80
25,Lanzones,0,0,0,,21-38 weeks,73
26,Mandarin,,,,,,76
27,Mango,1,1,1,25-80 kg/tree,5-7 years,79
28,Mangosteen,0,0,0,4-8 t/ha,,80
29,Orange,1,1,1,30 tons/ha,5 years,73
30,Papaya,0,0,0,60-80 tons/ha,8-10 weeks after flowering,76
31,Pineapple,1,1,1,30-40 tons/ha,,79
32,Rambutan,0,0,0,,3-6 years old,80
33,Tamarind,?,?,?,150-200 kg/tree,1 year?,73
34,Watermelon,0,0,0,15-20 tons/ha,70-120 days,76
35,Asparagus,,,,,,79
36,Broccoli,,,,,,80
37,Cassava,0,,,20-30 tons/ha,7-12 months,73
38,Ginger,1,Planting time: September,,20-30 tons/ha,5-10 months,76
39,Greater yam/Ubi,1,oct-dec or jan-march,,15-20 tons/ha,3-6 months,79
40,Lady's finger/Okra,0,,,15 tons/ha,60-90 days,80
41,Lettuce,1,march to oct,,8-10 tons/ha,7-15 weeks,73
42,Mung bean/Mongo,,,,,,76
43,Peanut,,,,,,79
44,"Pechay, Native",,,,,,80
45,Radish,0,,,8-15 tons/ha,30-40 days,73
46,Squash Fruit,,,,,,76
47,Swamp cabbage/Kangkong,,,,,,79
48,Taro/Gabi,,,,,,80
49,Potato,0,,,20-25 tons/ha,95-120 days,73
50,Avocado,1,march,july,10-15 tons/ha,4-7 years,76
